date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Apr%202026%2011:54:35%20GMT	https://shophama.site/robots.txt		(from )
18:54:36	87643/87643	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Apr%202026%2011:54:35%20GMT	https://shophama.site/	/storage/emulated/0/website_clone/shophama.site/index.html	(from )
18:54:37	209412/209412	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Dec%202025%2013:36:15%20GMT	https://shophama.site/assets/storage/images/favicon_QCU.png	/storage/emulated/0/website_clone/shophama.site/assets/storage/images/favicon_QCU.png	(from https://shophama.site/)
18:54:37	48655/48655	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Nov%202021%2008:06:20%20GMT	https://shophama.site/public/datum/assets/css/backend-plugin.min.css	/storage/emulated/0/website_clone/shophama.site/public/datum/assets/css/backend-plugin.min.css	(from https://shophama.site/)
18:54:38	898/898	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Sep%202023%2011:38:10%20GMT	https://shophama.site/resources/css/responsive.css	/storage/emulated/0/website_clone/shophama.site/resources/css/responsive.css	(from https://shophama.site/)
18:54:39	393923/393923	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Sep%202023%2011:38:10%20GMT	https://shophama.site/resources/css/backend.css?v=1.0.0	/storage/emulated/0/website_clone/shophama.site/resources/css/backende209.css	(from https://shophama.site/)
18:54:40	4373/4373	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Sep%202023%2011:38:10%20GMT	https://shophama.site/resources/css/customize.css	/storage/emulated/0/website_clone/shophama.site/resources/css/customize.css	(from https://shophama.site/)
18:54:41	10847/10847	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2008%20Sep%202023%2011:38:10%20GMT	https://shophama.site/resources/js/jquery.js	/storage/emulated/0/website_clone/shophama.site/resources/js/jquery.js	(from https://shophama.site/)
18:54:42	31175/31175	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Aug%202021%2004:31:58%20GMT	https://shophama.site/public/sweetalert2/default.css	/storage/emulated/0/website_clone/shophama.site/public/sweetalert2/default.css	(from https://shophama.site/)
18:54:43	72671/72671	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Aug%202021%2004:31:58%20GMT	https://shophama.site/public/sweetalert2/sweetalert2.js	/storage/emulated/0/website_clone/shophama.site/public/sweetalert2/sweetalert2.js	(from https://shophama.site/)
18:54:44	5729/5729	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Aug%202021%2004:31:58%20GMT	https://shophama.site/public/cute-alert/style.css	/storage/emulated/0/website_clone/shophama.site/public/cute-alert/style.css	(from https://shophama.site/)
18:54:45	4205/4205	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Aug%202021%2004:31:58%20GMT	https://shophama.site/public/cute-alert/cute-alert.js	/storage/emulated/0/website_clone/shophama.site/public/cute-alert/cute-alert.js	(from https://shophama.site/)
18:54:46	288580/288580	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Aug%202021%2004:31:58%20GMT	https://shophama.site/public/js/jquery-3.6.0.js	/storage/emulated/0/website_clone/shophama.site/public/js/jquery-3.6.0.js	(from https://shophama.site/)
18:54:48	975038/975038	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:21:33%20GMT	https://shophama.site/assets/storage/images/gif_loader7CL.png	/storage/emulated/0/website_clone/shophama.site/assets/storage/images/gif_loader7CL.png	(from https://shophama.site/)
